Year,Gear,Species,Length,raising_factor
2018,C,A,41,69.67
2018,C,A,41,69.67
2018,C,A,44,69.67
2018,C,A,43,69.67
2018,C,A,42,69.67
2018,C,A,42,69.67
2018,C,A,44,69.67
2018,C,A,40,69.67
2018,C,A,40,69.67
2018,C,A,42,69.67
2018,C,A,41,69.67
2018,C,A,44,69.67
2018,C,A,42,69.67
2018,C,A,41,69.67
2018,C,A,43,69.67
2018,C,A,40,69.67
2018,C,A,43,69.67
2018,C,A,43,69.67
2018,C,A,41,69.67
2018,C,A,42,69.67
2018,C,A,41,69.67
2018,C,A,40,69.67
2018,C,A,44,69.67
2018,C,A,42,69.67
2018,C,A,43,69.67
2018,C,A,40,69.67
2018,C,A,43,69.67
2018,C,A,42,69.67
2018,C,A,44,69.67
2018,C,A,45,69.67
2018,C,A,43,69.67
2018,C,A,46,69.67
2018,C,A,47,69.67
2018,C,A,43,69.67
2018,C,A,42,69.67
2018,C,A,41,69.67
2018,C,A,44,69.67
2018,C,A,41,69.67
2018,C,A,41,69.67
2018,C,A,41,69.67
2018,C,A,42,69.67
2018,C,A,43,69.67
2018,C,A,44,69.67
2018,C,A,46,69.67
2018,C,A,45,69.67
2018,C,A,43,69.67
2018,C,A,42,69.67
2018,C,A,45,69.67
2018,C,A,44,69.67
2018,C,A,43,69.67
2018,C,A,43,69.67
2018,C,A,44,69.67
2018,C,A,45,69.67
2018,C,A,41,69.67
2018,C,A,43,69.67
2018,C,A,41,69.67
2018,C,A,41,69.67
2018,C,A,43,69.67
2018,C,A,45,69.67
2018,D,A,42,2.06
2018,D,A,42,2.06
2018,D,A,45,2.06
2018,D,A,43,2.06
2018,D,A,44,2.06
2018,D,A,49,2.06
2018,D,A,47,2.06
2018,D,A,45,2.06
2018,D,A,45,2.06
2018,D,A,45,2.06
2018,D,A,41,2.06
2018,D,A,47,2.06
2018,D,A,45,2.06
2018,D,A,40,2.06
2018,D,A,48,2.06
2018,D,A,44,2.06
2018,D,A,40,2.06
2018,D,A,42,2.06
2018,D,A,43,2.06
2018,D,A,44,2.06
2018,D,A,43,2.06
2018,D,A,43,2.06
2018,D,A,35,2.06
2018,D,A,32,2.06
2018,D,A,29,2.06
2018,D,A,26,2.06
2018,D,A,30,2.06
2018,D,A,27,2.06
2018,D,A,26,2.06
2018,D,A,27,2.06
2018,D,A,28,2.06
2018,D,A,28,2.06
2018,D,A,28,2.06
2018,D,A,28,2.06
2018,D,A,25,2.06
2018,D,A,28,2.06
2018,D,A,28,2.06
2018,D,A,30,2.06
2018,D,A,31,2.06
2018,D,A,30,2.06
2018,D,A,27,2.06
2018,D,A,27,2.06
2018,D,A,34,2.06
2018,D,A,36,2.06
2018,D,A,34,2.06
2018,D,A,28,2.06
2018,D,A,35,2.06
2018,D,A,29,2.06
2018,D,A,30,2.06
2018,D,A,30,2.06
2018,D,A,25,2.06
2018,D,A,35,2.06
2018,D,A,35,2.06
2018,D,A,36,2.06
2018,D,A,35,2.06
2018,D,A,36,2.06
2018,D,A,35,2.06
2018,D,A,42,2.06
2018,D,A,35,2.06
2018,D,A,35,2.06
2018,D,A,34,2.06
2018,D,A,29,2.06
2018,D,A,34,2.06
2018,D,A,35,2.06
2018,D,A,34,2.06
2018,D,A,29,2.06
2018,D,A,30,2.06
2018,D,A,34,2.06
2018,D,A,35,2.06
2018,D,A,21,2.06
2018,D,A,21,2.06
2018,D,A,26,17.33
2018,D,A,27,17.33
2018,D,A,27,17.33
2018,D,A,24,17.33
2018,D,A,21,17.33
2018,D,A,26,17.33
